deserializer, deserializerTime, dataLength, loaderTime, dataLoader, limit, 
LibXMLDom, 0.131106972694397, 105616, 1.670569002628326, ASIHTTPRequest, 200, 
LibXMLSAX, 0.05016303062438965, 26425, 0.9491919875144958, ASIHTTPRequest, 50, 
LibXMLSAX, 0.1035289764404297, 52806, 1.222117006778717, ASIHTTPRequest, 100, 
LibXMLSAX, 0.1540769934654236, 79409, 1.001694977283478, ASIHTTPRequest, 150, 
LibXMLSAX, 0.2015210390090942, 105616, 1.871562004089355, ASIHTTPRequest, 200, 
CSV, 0.04353600740432739, 13340, 0.4801120162010193, ASIHTTPRequest, 50, 
CSV, 0.07051199674606323, 26689, 0.6287020444869995, ASIHTTPRequest, 100, 
CSV, 0.148188054561615, 40272, 0.6698939800262451, ASIHTTPRequest, 150, 
CSV, 0.1329809427261353, 53451, 0.8166229724884033, ASIHTTPRequest, 200, 
TBXML, 0.01838099956512451, 26425, 0.5630940198898315, ASIHTTPRequest, 50, 
TBXML, 0.03738903999328613, 52806, 2.874957025051117, ASIHTTPRequest, 100, 
TBXML, 0.0545470118522644, 79409, 1.415889978408813, ASIHTTPRequest, 150, 
TBXML, 0.06776005029678345, 105616, 4.357482969760895, ASIHTTPRequest, 200, 
KissXML, 0.04789900779724121, 26425, 0.4173319935798645, ASIHTTPRequest, 50, 
KissXML, 0.09208601713180542, 52806, 0.7440170049667358, ASIHTTPRequest, 100, 
KissXML, 0.1344220042228699, 79409, 2.566511034965515, ASIHTTPRequest, 150, 
KissXML, 0.1700109839439392, 105616, 1.676095962524414, ASIHTTPRequest, 200, 
TinyXML, 0.0612640380859375, 26425, 0.6373019814491272, ASIHTTPRequest, 50, 
TinyXML, 0.1148310303688049, 52806, 0.8977339863777161, ASIHTTPRequest, 100, 
TinyXML, 0.162788987159729, 79409, 0.6886379718780518, ASIHTTPRequest, 150, 
TinyXML, 0.2239380478858948, 105616, 1.074904024600983, ASIHTTPRequest, 200, 
GoogleXML, 0.04275399446487427, 26425, 0.4489109516143799, ASIHTTPRequest, 50, 
GoogleXML, 0.09151101112365723, 52806, 0.8802430033683777, ASIHTTPRequest, 100, 
GoogleXML, 0.1239240169525146, 79409, 0.8248270153999329, ASIHTTPRequest, 150, 
GoogleXML, 0.1679689884185791, 105616, 0.8268200159072876, ASIHTTPRequest, 200, 
APXML, 0.08431994915008545, 26425, 1.06053102016449, ASIHTTPRequest, 50, 
APXML, 0.1739159822463989, 52806, 0.816029965877533, ASIHTTPRequest, 100, 
APXML, 0.2512439489364624, 79409, 0.8429449796676636, ASIHTTPRequest, 150, 
