format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
json, 0.01652401685714722, 20, 2.763307988643646, 8884, ASIHTTPRequest, SBJSON, 
json, 0.004354953765869141, 5, 1.659672021865845, 2259, ASIHTTPRequest, JSONKit, 
json, 0.005448997020721436, 10, 2.192241966724396, 4236, ASIHTTPRequest, JSONKit, 
json, 0.006093025207519531, 15, 2.751303017139435, 6415, ASIHTTPRequest, JSONKit, 
json, 0.007948994636535645, 20, 2.607161045074463, 8415, ASIHTTPRequest, JSONKit, 
json, 0.004996001720428467, 5, 2.0103679895401, 2194, ASIHTTPRequest, YAJL, 
json, 0.005308985710144043, 10, 2.191933035850525, 4329, ASIHTTPRequest, YAJL, 
json, 0.008781015872955322, 15, 2.909469962120056, 6465, ASIHTTPRequest, YAJL, 
json, 0.01081997156143188, 20, 2.730009019374847, 8800, ASIHTTPRequest, YAJL, 
json, 0.03728097677230835, 5, 1.627417981624603, 2135, ASIHTTPRequest, BSJSON, 
json, 0.06674998998641968, 10, 2.237734973430634, 4239, ASIHTTPRequest, BSJSON, 
json, 0.09281295537948608, 15, 2.733595967292786, 6363, ASIHTTPRequest, BSJSON, 
json, 0.1338050365447998, 20, 3.282429039478302, 8772, ASIHTTPRequest, BSJSON, 
yaml, 0.006516039371490479, 5, 1.544267058372498, 2300, ASIHTTPRequest, YAML, 
yaml, 0.01479697227478027, 10, 2.188935041427612, 4645, ASIHTTPRequest, YAML, 
yaml, 0.02038496732711792, 15, 2.82007098197937, 7060, ASIHTTPRequest, YAML, 
yaml, 0.02546799182891846, 20, 3.43825101852417, 9641, ASIHTTPRequest, YAML, 
binplist, 0.001214027404785156, 5, 1.429349005222321, 1886, ASIHTTPRequest, BinaryPlist, 
binplist, 0.002196967601776123, 10, 2.154393017292023, 3400, ASIHTTPRequest, BinaryPlist, 
binplist, 0.003153026103973389, 15, 2.031433999538422, 5033, ASIHTTPRequest, BinaryPlist, 
binplist, 0.00514298677444458, 20, 2.715987026691437, 7371, ASIHTTPRequest, BinaryPlist, 
xmlplist, 0.002579987049102783, 5, 1.994177043437958, 3887, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.005704998970031738, 10, 1.953324019908905, 7665, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.006206989288330078, 15, 1.75027197599411, 11136, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.008041024208068848, 20, 1.870452046394348, 15135, ASIHTTPRequest, XMLPlist, 
xmlplistformatted, 0.002892971038818359, 5, 1.991559982299805, 4983, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.004678964614868164, 10, 1.992370009422302, 9741, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.00696796178817749, 15, 1.790960967540741, 14440, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.009409010410308838, 20, 1.849636971950531, 19206, ASIHTTPRequest, XMLFormattedPlist, 
xml, 0.009874999523162842, 5, 1.368075966835022, 2670, ASIHTTPRequest, NSXMLParser, 
xml, 0.01439601182937622, 10, 1.968213021755219, 5404, ASIHTTPRequest, NSXMLParser, 
xml, 0.02101600170135498, 15, 1.763866007328033, 8048, ASIHTTPRequest, NSXMLParser, 
xml, 0.02770298719406128, 20, 1.852392017841339, 10779, ASIHTTPRequest, NSXMLParser, 
xml, 0.00854194164276123, 5, 1.950560986995697, 2735, ASIHTTPRequest, TouchXML, 
xml, 0.01132500171661377, 10, 1.928597986698151, 5395, ASIHTTPRequest, TouchXML, 
xml, 0.01659697294235229, 15, 1.944440007209778, 8057, ASIHTTPRequest, TouchXML, 
xml, 0.0211300253868103, 20, 1.837648987770081, 10639, ASIHTTPRequest, TouchXML, 
xml, 0.004644989967346191, 5, 1.29618501663208, 2735, ASIHTTPRequest, LibXMLDom, 
xml, 0.008704006671905518, 10, 1.930513024330139, 5236, ASIHTTPRequest, LibXMLDom, 
xml, 0.01251304149627686, 15, 1.750999987125397, 8018, ASIHTTPRequest, LibXMLDom, 
xml, 0.01393598318099976, 20, 1.845059037208557, 10727, ASIHTTPRequest, LibXMLDom, 
xml, 0.009087979793548584, 5, 1.321359992027283, 2715, ASIHTTPRequest, LibXMLSAX, 
xml, 0.01137501001358032, 10, 1.968620002269745, 5408, ASIHTTPRequest, LibXMLSAX, 
xml, 0.01826298236846924, 15, 1.802119016647339, 8057, ASIHTTPRequest, LibXMLSAX, 
xml, 0.02241504192352295, 20, 1.87969696521759, 10440, ASIHTTPRequest, LibXMLSAX, 
csv, 0.01500397920608521, 5, 1.174587965011597, 1448, ASIHTTPRequest, CSV, 
csv, 0.01684200763702393, 10, 1.978941977024078, 2550, ASIHTTPRequest, CSV, 
csv, 0.01906704902648926, 15, 1.761695027351379, 3891, ASIHTTPRequest, CSV, 
csv, 0.02373200654983521, 20, 1.818419992923737, 5195, ASIHTTPRequest, CSV, 
