format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
csv, 0.05199897289276123, 50, 0.4900680184364319, 13537, ASIHTTPRequest, CSV, 
csv, 0.08450299501419067, 100, 0.6617680191993713, 27038, ASIHTTPRequest, CSV, 
csv, 0.1174610257148743, 150, 0.8798770308494568, 40580, ASIHTTPRequest, CSV, 
csv, 0.1556730270385742, 200, 0.8631430268287659, 54003, ASIHTTPRequest, CSV, 
xml, 0.02269202470779419, 50, 0.7512319684028625, 26499, ASIHTTPRequest, TBXML, 
xml, 0.04306000471115112, 100, 1.012488007545471, 53056, ASIHTTPRequest, TBXML, 
xml, 0.06126201152801514, 150, 1.073053002357483, 79571, ASIHTTPRequest, TBXML, 
xml, 0.08346700668334961, 200, 1.066255033016205, 105290, ASIHTTPRequest, TBXML, 
xml, 0.05044102668762207, 50, 0.6208159923553467, 26437, ASIHTTPRequest, KissXML, 
xml, 0.09784799814224243, 100, 0.9741750359535217, 52540, ASIHTTPRequest, KissXML, 
xml, 0.1383959650993347, 150, 1.034012019634247, 78481, ASIHTTPRequest, KissXML, 
xml, 0.1887850165367126, 200, 1.188803970813751, 105683, ASIHTTPRequest, KissXML, 
xml, 0.09523499011993408, 50, 0.7132269740104675, 26654, ASIHTTPRequest, TinyXML, 
xml, 0.193295955657959, 100, 0.9265180230140686, 52898, ASIHTTPRequest, TinyXML, 
xml, 0.2674919962882996, 150, 1.040057003498077, 79678, ASIHTTPRequest, TinyXML, 
xml, 0.3522229790687561, 200, 1.261860013008118, 105524, ASIHTTPRequest, TinyXML, 
xml, 0.05875903367996216, 50, 0.8708040118217468, 26004, ASIHTTPRequest, GoogleXML, 
xml, 0.1136650443077087, 100, 0.7605159878730774, 52977, ASIHTTPRequest, GoogleXML, 
xml, 0.1632499694824219, 150, 0.914779007434845, 79324, ASIHTTPRequest, GoogleXML, 
xml, 0.2166079878807068, 200, 1.151214957237244, 106209, ASIHTTPRequest, GoogleXML, 
xml, 0.09453999996185303, 50, 0.6987599730491638, 26383, ASIHTTPRequest, APXML, 
xml, 0.1770780086517334, 100, 0.8282189965248108, 53220, ASIHTTPRequest, APXML, 
xml, 0.2596480250358582, 150, 1.04612797498703, 79144, ASIHTTPRequest, APXML, 
xml, 0.3403850197792053, 200, 1.179563999176025, 105916, ASIHTTPRequest, APXML, 
pbuf, 0.02044999599456787, 50, 0.8740609884262085, 13981, ASIHTTPRequest, ProtocolBuffer, 
pbuf, 0.04200303554534912, 100, 1.009706020355225, 27444, ASIHTTPRequest, ProtocolBuffer, 
pbuf, 0.05775898694992065, 150, 0.9724250435829163, 40939, ASIHTTPRequest, ProtocolBuffer, 
pbuf, 0.08302098512649536, 200, 0.9655680060386658, 55275, ASIHTTPRequest, ProtocolBuffer, 
xml, 0.07535004615783691, 50, 0.6323820352554321, 26450, ASIHTTPRequest, AQXMLParser, 
xml, 0.1558489799499512, 100, 1.148647010326385, 53358, ASIHTTPRequest, AQXMLParser, 
xml, 0.2296040058135986, 150, 1.060840010643005, 80029, ASIHTTPRequest, AQXMLParser, 
xml, 0.3148740530014038, 200, 2.646697998046875, 105853, ASIHTTPRequest, AQXMLParser, 
soap, 0.04320800304412842, 50, 0.9002400040626526, 41997, SOAP, SOAP, 
soap, 0.08362299203872681, 100, 0.8796080350875854, 83579, SOAP, SOAP, 
soap, 0.1204990148544312, 150, 1.035777032375336, 125382, SOAP, SOAP, 
soap, 0.1598529815673828, 200, 1.416474997997284, 166789, SOAP, SOAP, 
